Time,Heart Rate
380.121,0.89827
380.605,0.903071
381.085,0.928794
381.562,0.971935
382.041,1.03085
382.523,1.10431
383.009,1.18897
383.496,1.27661
383.976,1.354
384.441,1.40883
384.902,1.43794
385.378,1.4413
385.861,1.42104
386.34,1.3823
386.819,1.32868
387.301,1.26206
387.788,1.184
388.277,1.09913
388.766,1.017
389.248,0.950527
389.716,0.908301
390.188,0.891158
390.671,0.898192
391.149,0.925967
391.625,0.971137
392.103,1.03228
392.586,1.10833
393.072,1.19568
393.558,1.28546
394.037,1.36354
394.498,1.41773
394.957,1.44559
395.432,1.44733
395.913,1.42539
396.39,1.38511
396.869,1.32994
397.351,1.26158
397.837,1.1815
398.326,1.09447
398.814,1.01061
399.293,0.943339
399.759,0.9011
400.229,0.884319
400.71,0.89198
401.187,0.920491
401.662,0.966539
402.14,1.02886
402.622,1.10658
403.108,1.19616
403.595,1.28841
404.072,1.36855
404.53,1.4239
404.986,1.45234
405.459,1.45424
405.939,1.43209
406.414,1.39138
406.892,1.33562
407.373,1.26642
407.86,1.18498
408.348,1.09594
408.836,1.00959
409.313,0.939913
409.776,0.895833
410.243,0.877643
410.723,0.884294
411.199,0.912219
411.673,0.957955
412.15,1.02031
412.632,1.09869
413.118,1.18995
413.605,1.28501
414.083,1.36873
414.539,1.42721
414.991,1.45814
415.46,1.46204
415.939,1.44118
416.413,1.40122
416.889,1.34585
417.37,1.27674
417.856,1.19475
418.344,1.10396
418.831,1.01447
419.309,0.940668
419.77,0.892818
420.233,0.871386
420.711,0.875307
421.186,0.901266
421.658,0.945452
422.134,1.00663
422.616,1.08448
423.103,1.17663
423.589,1.2746
424.069,1.36336
424.525,1.42708
424.973,1.46251
425.437,1.47037
425.914,1.45246
426.387,1.41446
426.862,1.36053
427.341,1.29251
427.826,1.21097
428.315,1.11899
428.802,1.02598
429.281,0.946459
429.741,0.892776
430.199,0.866194
430.673,0.865529
431.149,0.888021
431.62,0.929355
432.095,0.988068
432.575,1.06401
433.062,1.15587
433.548,1.25639
434.031,1.35123
434.49,1.42249
434.934,1.46456
435.391,1.47843
435.866,1.46539
436.338,1.43073
436.811,1.37937
437.288,1.31351
437.772,1.23359
438.261,1.14142
438.748,1.04506
439.23,0.958624
439.691,0.896883
440.144,0.863118
440.612,0.855879
441.089,0.873173
441.559,0.910285
442.032,0.965193
442.51,1.03774
442.996,1.12769
443.484,1.22972
443.968,1.33082
444.434,1.41191
444.876,1.46296
445.324,1.48498
445.794,1.47904
446.266,1.44935
446.737,1.4018
447.213,1.3392
447.694,1.2622
448.182,1.17134
448.67,1.07253
449.154,0.978858
449.621,0.906808
450.07,0.863632
450.529,0.847757
451.006,0.857742
451.475,0.889157
451.946,0.938872
452.422,1.00649
452.906,1.09254
453.395,1.19418
453.881,1.30049
454.356,1.39315
454.801,1.45584
455.241,1.48833
455.701,1.49194
456.173,1.46934
456.642,1.42703
457.115,1.36881
457.594,1.29598
458.08,1.20829
458.569,1.10886
459.054,1.00884
459.529,0.924809
459.979,0.869669
460.429,0.843022
460.9,0.843236
461.371,0.867174
461.839,0.910243
462.313,0.971456
462.794,1.05146
463.282,1.14994
463.77,1.25917
464.253,1.36315
464.707,1.44066
465.142,1.4862
465.589,1.50191
466.059,1.48926
466.527,1.45396
466.996,1.40145
467.472,1.33393
467.955,1.25128
468.445,1.15398
468.932,1.04979
469.412,0.953904
469.87,0.883845
470.313,0.843985
470.771,0.831917
471.246,0.845909
471.713,0.880813
472.183,0.934222
472.66,1.00635
473.146,1.09841
473.636,1.20701
474.122,1.31919
474.593,1.41411
475.029,1.47582
475.465,1.50618
475.923,1.50681
476.392,1.48103
476.859,1.43583
477.33,1.37475
477.809,1.29863
478.297,1.20659
478.787,1.10178
479.27,0.99677
479.741,0.909603
480.185,0.853483
480.629,0.826756
481.098,0.827523
481.568,0.852361
482.034,0.896477
482.506,0.959243
482.988,1.04192
483.479,1.14505
483.968,1.26058
484.45,1.3713
484.901,1.45342
485.33,1.50144
485.771,1.51847
486.238,1.50611
486.703,1.47036
487.17,1.41709
487.645,1.34855
488.127,1.26425
488.618,1.16364
489.106,1.05404
489.585,0.951461
490.041,0.875253
490.478,0.831023
490.929,0.815517
491.403,0.827068
491.867,0.860333
492.335,0.912484
492.811,0.983917
493.298,1.07675
493.791,1.18934
494.277,1.30881
494.752,1.41403
495.187,1.48376
495.614,1.52013
496.063,1.52553
496.531,1.5027
496.994,1.4592
497.463,1.39923
497.94,1.32399
498.427,1.23196
498.919,1.12408
499.403,1.01211
499.876,0.914386
500.319,0.848608
500.755,0.81416
501.215,0.808179
501.686,0.828156
502.148,0.868227
502.618,0.927319
503.098,1.00677
503.589,1.10898
504.081,1.22901
504.566,1.35023
505.027,1.44756
505.452,1.50716
505.881,1.53388
506.338,1.52957
506.802,1.49887
507.265,1.44925
507.736,1.38376
508.216,1.30253
508.706,1.20345
509.197,1.0899
509.678,0.977079
